"Device name","Description","MAC address","IP address"
"heimdall","Teltonika RUT955 router","---","192.168.69.1"
"njord","NETGEAR 16-port managed switch","94:18:65:3e:33:d0","192.168.69.2"
"magni","WAGO PLC Modbus TCP ethernet module","---","192.168.69.3"
"odin","HP Z2 G9 workstation","bc:0f:f3:c2:cd:22","192.168.69.4"
"thor","Lenovo ThinkPad P16 operator laptop","c8:5b:76:c5:26:00","192.168.69.5"
"saga","Ouster OS-1 LiDAR","bc:0f:a7:00:1c:1d","192.168.69.6"
"skadi","Reolink PTZ camera","ec:71:db:0d:46:9c","192.168.69.7"
"freya","Luxonis OAK-D Pro W PoE stereo camera","44:a9:2c:38:ca:41","192.168.69.8"
"laga","Luxonis OAK-1 W PoE monocular camera","44:a9:2c:37:3c:41","192.168.69.9"
"balder","Lenovo ThinkPad P16 guest laptop","f4:a8:0d:16:b4:c8","192.168.69.10"